event_episode_id,event_type,ddr_wellbore_id,usrop_well_id,onset_md,horizon_m,cutoff_md,join_status,reason
EP_V2_15,Equipment Failure,NO 15/9-19 A,,3653.0,25,3628.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_15,Equipment Failure,NO 15/9-19 A,,3653.0,50,3603.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_15,Equipment Failure,NO 15/9-19 A,,3653.0,100,3553.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_17,Equipment Failure,NO 15/9-19 A,,0.0,25,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_17,Equipment Failure,NO 15/9-19 A,,0.0,50,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_17,Equipment Failure,NO 15/9-19 A,,0.0,100,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_24,Equipment Failure,NO 15/9-19 A,,3937.0,25,3912.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_24,Equipment Failure,NO 15/9-19 A,,3937.0,50,3887.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_24,Equipment Failure,NO 15/9-19 A,,3937.0,100,3837.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_27,Equipment Failure,NO 15/9-19 A,,0.0,25,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_27,Equipment Failure,NO 15/9-19 A,,0.0,50,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_27,Equipment Failure,NO 15/9-19 A,,0.0,100,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_28,FORMATION_MUD_LOSS,NO 15/9-19 A,,2199.0,25,2174.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_28,FORMATION_MUD_LOSS,NO 15/9-19 A,,2199.0,50,2149.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_28,FORMATION_MUD_LOSS,NO 15/9-19 A,,2199.0,100,2099.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_48,Stuck Pipe,NO 15/9-19 A,,2190.0,25,2165.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_48,Stuck Pipe,NO 15/9-19 A,,2190.0,50,2140.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_48,Stuck Pipe,NO 15/9-19 A,,2190.0,100,2090.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_55,Stuck Pipe,NO 15/9-19 A,,4123.0,25,4098.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_55,Stuck Pipe,NO 15/9-19 A,,4123.0,50,4073.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_55,Stuck Pipe,NO 15/9-19 A,,4123.0,100,4023.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_58,Tight Hole,NO 15/9-19 A,,2207.0,25,2182.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_58,Tight Hole,NO 15/9-19 A,,2207.0,50,2157.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_58,Tight Hole,NO 15/9-19 A,,2207.0,100,2107.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_59,Tight Hole,NO 15/9-19 A,,2783.0,25,2758.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_59,Tight Hole,NO 15/9-19 A,,2783.0,50,2733.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_59,Tight Hole,NO 15/9-19 A,,2783.0,100,2683.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_61,Tight Hole,NO 15/9-19 A,,3820.0,25,3795.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_61,Tight Hole,NO 15/9-19 A,,3820.0,50,3770.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_61,Tight Hole,NO 15/9-19 A,,3820.0,100,3720.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_62,Tight Hole,NO 15/9-19 A,,3990.0,25,3965.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_62,Tight Hole,NO 15/9-19 A,,3990.0,50,3940.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_62,Tight Hole,NO 15/9-19 A,,3990.0,100,3890.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_75,CEMENTING/OPERATIONAL_LOSS,NO 15/9-19 B,,2983.0,25,2958.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_75,CEMENTING/OPERATIONAL_LOSS,NO 15/9-19 B,,2983.0,50,2933.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_75,CEMENTING/OPERATIONAL_LOSS,NO 15/9-19 B,,2983.0,100,2883.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_91,FORMATION_MUD_LOSS,NO 15/9-19 B,,2927.0,25,2902.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_91,FORMATION_MUD_LOSS,NO 15/9-19 B,,2927.0,50,2877.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_91,FORMATION_MUD_LOSS,NO 15/9-19 B,,2927.0,100,2827.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_105,FORMATION_MUD_LOSS,NO 15/9-19 B,,3025.0,25,3000.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_105,FORMATION_MUD_LOSS,NO 15/9-19 B,,3025.0,50,2975.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_105,FORMATION_MUD_LOSS,NO 15/9-19 B,,3025.0,100,2925.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_117,FORMATION_MUD_LOSS,NO 15/9-19 B,,3272.0,25,3247.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_117,FORMATION_MUD_LOSS,NO 15/9-19 B,,3272.0,50,3222.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_117,FORMATION_MUD_LOSS,NO 15/9-19 B,,3272.0,100,3172.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_125,FORMATION_MUD_LOSS,NO 15/9-19 B,,2983.0,25,2958.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_125,FORMATION_MUD_LOSS,NO 15/9-19 B,,2983.0,50,2933.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_125,FORMATION_MUD_LOSS,NO 15/9-19 B,,2983.0,100,2883.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_149,Tight Hole,NO 15/9-19 B,,2967.0,25,2942.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_149,Tight Hole,NO 15/9-19 B,,2967.0,50,2917.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_149,Tight Hole,NO 15/9-19 B,,2967.0,100,2867.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_185,Equipment Failure,NO 15/9-19 BT2,,3861.0,25,3836.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_185,Equipment Failure,NO 15/9-19 BT2,,3861.0,50,3811.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_185,Equipment Failure,NO 15/9-19 BT2,,3861.0,100,3761.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_216,Stuck Pipe,NO 15/9-19 BT2,,3824.0,25,3799.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_216,Stuck Pipe,NO 15/9-19 BT2,,3824.0,50,3774.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_216,Stuck Pipe,NO 15/9-19 BT2,,3824.0,100,3724.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_218,Stuck Pipe,NO 15/9-19 BT2,,4037.0,25,4012.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_218,Stuck Pipe,NO 15/9-19 BT2,,4037.0,50,3987.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_218,Stuck Pipe,NO 15/9-19 BT2,,4037.0,100,3937.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_222,Stuck Pipe,NO 15/9-19 BT2,,4130.0,25,4105.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_222,Stuck Pipe,NO 15/9-19 BT2,,4130.0,50,4080.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_222,Stuck Pipe,NO 15/9-19 BT2,,4130.0,100,4030.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_223,Stuck Pipe,NO 15/9-19 BT2,,4248.0,25,4223.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_223,Stuck Pipe,NO 15/9-19 BT2,,4248.0,50,4198.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_223,Stuck Pipe,NO 15/9-19 BT2,,4248.0,100,4148.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_227,Stuck Pipe,NO 15/9-19 BT2,,3558.0,25,3533.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_227,Stuck Pipe,NO 15/9-19 BT2,,3558.0,50,3508.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_227,Stuck Pipe,NO 15/9-19 BT2,,3558.0,100,3458.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_228,Stuck Pipe,NO 15/9-19 BT2,,4025.0,25,4000.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_228,Stuck Pipe,NO 15/9-19 BT2,,4025.0,50,3975.0,UNRESOLVED_NO_WELL,Not in USROP
