event_episode_id,event_type,ddr_wellbore_id,usrop_well_id,independent_well_group,onset_md,cutoff_25m,parent_sidetrack_relationship,lowo_independence
EP_V2_1197,Equipment Failure,NO 15/9-F-14,15/9-F-14,F-14,2222.0,2197.0,PARENT,INDEPENDENT
EP_V2_1207,Equipment Failure,NO 15/9-F-14,15/9-F-14,F-14,3040.0,3015.0,PARENT,INDEPENDENT
EP_V2_1306,CEMENTING/OPERATIONAL_LOSS,NO 15/9-F-15,15/9-F-15,F-15_GROUP,4086.0,4061.0,PARENT,INDEPENDENT
EP_V2_1349,FORMATION_MUD_LOSS,NO 15/9-F-15,15/9-F-15,F-15_GROUP,2883.0,2858.0,PARENT,INDEPENDENT
EP_V2_1353,FORMATION_MUD_LOSS,NO 15/9-F-15,15/9-F-15,F-15_GROUP,3660.0,3635.0,PARENT,INDEPENDENT
EP_V2_1355,FORMATION_MUD_LOSS,NO 15/9-F-15,15/9-F-15,F-15_GROUP,2649.0,2624.0,PARENT,INDEPENDENT
EP_V2_1387,Pack-off,NO 15/9-F-15,15/9-F-15,F-15_GROUP,1381.0,1356.0,PARENT,INDEPENDENT
EP_V2_1389,Pack-off,NO 15/9-F-15,15/9-F-15,F-15_GROUP,1381.0,1356.0,PARENT,INDEPENDENT
EP_V2_1449,Tight Hole,NO 15/9-F-15 A,15/9-F-15S,F-15_GROUP,1467.0,1442.0,SIDETRACK of F-15,SHARES geology with F-15
EP_V2_1450,Tight Hole,NO 15/9-F-15 A,15/9-F-15S,F-15_GROUP,2572.0,2547.0,SIDETRACK of F-15,SHARES geology with F-15
EP_V2_1454,Tight Hole,NO 15/9-F-15 A,15/9-F-15S,F-15_GROUP,2777.0,2752.0,SIDETRACK of F-15,SHARES geology with F-15
EP_V2_1829,Equipment Failure,NO 15/9-F-5,15/9-F-5,F-5,3233.0,3208.0,PARENT,INDEPENDENT
EP_V2_1894,Tight Hole,NO 15/9-F-5,15/9-F-5,F-5,3293.0,3268.0,PARENT,INDEPENDENT
EP_V2_1943,FORMATION_MUD_LOSS,NO 15/9-F-9,15/9-F-9 A,F-9_GROUP,1083.0,1058.0,SIDETRACK of F-9,SHARES geology with F-9
